Airline,Code
ATL,1
BGR,2
BWI,3
CLE,4
CLT,5
CMH,6
CVG,7
DCA,8
DEN,9
DFW,10
DTW,11
EWR,12
FLL,13
IAD,14
IAH,15
JAX,16
JFK,17
LGA,18
MCO,19
MEM,20
ORD,21
PBI,22
PHF,23
PHL,24
RDU,25
RSW,26
SJU,27
SLC,28
TPA,29
LAX,30
MDW,31
MIA,32
MSP,33
PWM,34
RIC,35
SFO,36
STL,37
BTV,38
CHS,39
PHX,40
CAK,41
IND,42
ORF,43
PIT,44
SDF,45
ISP,46
SJC,47
BUF,48
LGB,49
PDX,50
SAN,51
LAS,52
SEA,53
TTN,54
BNA,55
GSO,56
MKE,57
OAK,58
ROC,59
AUS,60
MSY,61
SAV,62
DAY,63
STT,64
MYR,65
SRQ,66
